what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518050703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518060062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518062640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518090875
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1296518090875
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1296518093703
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackagesView",1296518099093
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1296518099625
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ProjectsView",1296518101390
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackagesView",1296518105250
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypesView",1296518106500
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296518106718
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ProjectsView",1296518117312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518118656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518248453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518253187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518258218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1296518258218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1296518260312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518262781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518299593
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1296518299609
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296518300281
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ProjectsView",1296518303500
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296518304703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518306734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518306734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518308156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518450093
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ProjectsView",1296518452796
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1296518454046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518464640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518468281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1296518468281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1296518468281
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackagesView",1296518474468
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ProjectsView",1296518476281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518478921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518505593
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296518506953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518507750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518511562
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1296518518453
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1296518520875
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1296518520906
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1296518520953
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1296518521156
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1296518521171
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ProjectsView",1296518524515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518526343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518541546
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1296518541546
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1296518541546
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1296518542125
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1296518542265
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1296518542281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1296518546953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518549578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518559984
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1296518560000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1296518561593
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296518562312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518564640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518565359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518591406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518593921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518596015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296518748093
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1296518793593
