what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296527839671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296527842718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296527921531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296527922000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296527922000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296527922046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296527924140
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296527927765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296527929593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296527940750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296527946640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528022984
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296528026109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528028109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528037171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528040296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528040296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528040343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528090000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528092187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528095000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528097062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528097078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528097140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528099640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528103109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528111703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528112750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528113781
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypesView",1296528113781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528114750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528123875
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1296528123890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528125093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528125515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528126484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528138937
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296528139921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528141281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528141343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528148078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528149687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528151890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528326906
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1296528327843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296528329031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528329859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528345187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528347421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528442250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528442906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528442906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528443000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528447343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296528449296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528450609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296528462078
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296528463406
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1296528481734
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1296528481875
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1296528487765
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1296528487921
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296528489046
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1296528490562
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1296528495703
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1296528496296
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1296528496578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296528497312
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1296528498625
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1296528506828
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.13,"org.tigris.subversion.clientadapter.javahl",1296528506906
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.12,"org.tigris.subversion.clientadapter.svnkit",1296528506906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.backwardHistory",1296528511203
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1296528514375
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1296528514406
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypesView",1296528516484
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1296528516625
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1296528518234
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ProjectsView",1296528519625
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1296528522687
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1296528522875
