what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520142671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520143687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520147703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520153968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520154937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520154937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520155000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520250218
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1296520250234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520251437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520256625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520261375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520262484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520263890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520325500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520328984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520334546
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296520337562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520339609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520360718
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1296520361265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1296520368125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296520368531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520369187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520369187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520369234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520825125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520829781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520831828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520832421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520832421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520832468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520846796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520851281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520852718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520853843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520853843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520853890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520916890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520919203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520920281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1296520922562
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296520922937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296520924046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296521120828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296521121468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296521121468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296521121546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296521453859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296521454453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296521454453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296521454531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296521460765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296521463234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523347593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523418093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523478640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523480734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523480750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523480812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523482375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523483218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523483218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523483281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523488125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1296523495375
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296523496328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523496906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523498234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523499265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523665156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523665859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523665859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296523665921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296524125093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296524126625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296524128531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296524131281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296524452609
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1296524454156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296524454593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296524456015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296524465093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296524470890
